Четвер,четвер
ння,ння
і,і
ми,ми
виробимо,виробимо
спільну,спільний
логіку,логіка
Нагада,нагада
ю,ю
що,що
перше,перше
питання,питання
порядку,порядок
денного,денний
на,на
сьогодні,сьогодні
завершення,завершення
розгляд,розгляд
у,у
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
спрощення,спрощення
дос,дос
удового,удовий
розсліду,розслід
вання,вання
окремих,окремий
категорій,категори
кримінальних,кримінальний
правопорушень,правопорушень
№,№
7279,7279
д,д.
Потім,потім
ми,ми
пере,пере
йдемо,йдемо
до,до
розгляду,розгляд
законопроектів,законопроект
№,№
8414,8414
№,№
8338,8338
Серед,серед
бюджетних,бюджетний
законопроектів,законопроект
пропонується,пропонується
завершити,завершит
питання,питання
щодо,щодо
Центральної,центральна
виборчої,виборча
комісії,комісія
П,П.
ригадуєте,ригадуєте
виді,виді
лення,лення
коштів,кошти
на,на
кібербезпеку,кібербезпека
там,там
нуль,нуль
відхилених,відхилений
поправок,поправок
П,П.
отім,ото
пропонується,пропонується
перейти,перейти
до,до
Бюджетного,бюджетне
кодексу,кодекс
Але,але
для,для
того,те
щоб,щоб
ми,ми
змогли,змогти
сьогодні,сьогодні
розглянути,розглянути
проект,проект
бюджет,бюджет
у,у
нам,ми
необхідно,необхідно
проголосувати,проголосувати
пропозицію,пропозиція
про,про
продовження,продовження
вечірнього,вечірній
засідання,засідання
до,до
з,з
авершення,авершення
роз,роз
гляду,гляда
бюджетних,бюджетний
питань,питання
Ключов,ключов
им,им
питання,питання
м,м
залишається,залишатися
внесення,внесення
змін,зміна
до,до
Податкового,податкове
кодекс,кодекс
у,у
України,Україна
Я,я
звертаюся,звертаюся
до,до
Южаніної,южаніна
Ніни,ніни
Петрівни,Петрівна
і,і
до,до
всіх,весь
депутатів,депутат
Колеги,Колеги
на,на
засіданні,засідання
Погоджувальн,погоджувальн
ої,ої
ради,ради
я,я
поінформував,поінформувати
про,про
це,це
і,і
зараз,зараз
звертаюся,звертаюся
з,з
великим,великий
прохання,прохання
м,м
до,до
всіх,весь
депутатів,депутат
які,який
мають,мати
намір,намір
подати,подати
поправки,поправки
до,до
проекту,проект
про,про
внесення,внесення
змін,зміна
до,до
Подат,подат
кового,кове
кодексу,кодекс
України,Україна
до,до
14,14
години,година
подати,подати
по,по
правки,правка
щоб,щоб
члени,член
4,4
комітет,комітет
у,у
з,з
14,14
до,до
16,16
години,година
м,м
огли,огла
провести,провести
засідання,засідання
Сподіваємося,сподівай
що,що
після,після
обіду,обід
ко,ко
ли,ли
подадуть,подадуть
всі,весь
поправки,поправки
і,і
буде,бути
рішення,рішення
комітету,комітет
ми,ми
зможемо,змогти
перейти,перейти
до,до
розгляду,розгляд
проекту,проект
про,про
внесення,внесення
змін,зміна
до,до
Подат,подат
кового,кове
кодексу,кодекс
України,Україна
а,а
потім,потім
до,до
прийняття,прийняття
проекту,проект
б,б
юджету,юджета
Колеги,Колеги
якщо,якщо
ми,ми
працювати,працювати
мемо,мемо
злагоджено,злагоджено
системно,системно
зможемо,змогти
вчасно,вчасно
прийняти,прийняти
проект,проект
б,б
юджет,юджет
у,у
Думаю,думати
що,що
всі,весь
народні,народний
депутати,депутат
члени,член
фракцій,фракція
і,і
груп,група
зацікавлені,зацікавлений
в,в
тому,тому
щоб,щоб
відбулася,відбутися
якісна,якісна
дискусія,дискусія
і,і
щоб,щоб
ми,ми
не,не
затягували,затягувал
процес,процес
у,у
ніч,ніч
Отже,отже
нам,ми
важливо,важливо
проголосувати,проголосувати
пропозицію,пропозиція
про,про
продовження,продовження
вечірнього,вечірній
засідання,засідання
до,до
вичерпання,вичерпання
всіх,весь
питань,питання
щодо,щодо
проекту,проект
бюдже,бюдже
ту,той
Комітет,комітет
з,з
питань,питання
податкової,податковий
та,та
митної,митний
політики,політика
під,під
час,час
обід,обід
ньої,ні
перерви,перерва
розгляне,розгляне
проект,проект
про,про
внесення,внесення
змін,зміна
до,до
Податкового,податкове
кодекс,кодекс
у,у
якнай,якнай
швидше,швидше
подасть,подати
до,до
друку,друк
таблицю,таблиця
щоб,щоб
депутати,депутат
її,вона
отримали,отримати
і,і
ми,ми
змогли,змогти
провести,провести
якіс,якіс
ну,ну
та,та
професійну,професійний
дискусію,дискусія
Ось,ось
такі,такий
колеги,колега
повідомлення,повідомлення
щодо,щодо
логіки,логіка
на,на
сьогодні,сьогодні
Сподіваюся,сподіваюся
ми,ми
всі,весь
навколо,навколо
неї,вона
об’єднаємося,об’єднаємься
Зараз,зараз
зачитаю,зачити
дек,дек
ілька,ілька
оголоше,оголоше
нь,нь
Перше,перше
Відповідно,відповідно
до,до
статт,статт
і,і
60,60
Регламенту,регламент
Верховної,верховний
Ради,рада
України,Україна
а,а
також,також
згідно,згідно
з,з
протоколом,протокол
зборів,збір
депутатської,депутатська
фракції,фракція
політичної,політичний
партії,партія
Опозиційний,опозиційний
блок,блок
у,у
Верховній,верховній
Раді,раді
Ук,ук
раїни,раїни
вось,вось
мого,мій
скликання,скликання
від,від
20,20
листопада,листопад
повідомляю,повідомля
про,про
обрання,обрання
головою,голова
депутатської,депутатська
фракції,фракція
політично,політично
ї,ї
партії,партія
Опозиційний,опозиційний
блок,блок
народного,народний
депутата,депутат
України,Україна
Новинського,новинський
Вадима,вадима
Владиславович,владиславович
а,а
заступниками,заступник
голови,голова
фракції,фракція
народних,народний
депутатів,депутат
Вілкула,вілкула
Олександра,Олександр
Юрійовича,Юрійович
та,та
Воропаєва,воропаєва
Юрія,юрія
Миколайовича,Миколайович
Друге,друг
Згідно,згідно
з,з
поданою,подана
заявою,заява
та,та
відпо,відпо
відно,відно
до,до
частини,частина
третьої,третія
статті,стаття
60,60
Регламенту,регламент
Верховної,верховний
Ради,рада
України,Україна
повідомляю,повідомля
про,про
вихід,вихід
народних,народний
депутатів,депутат
України,Україна
Бакуліна,бакуліна
Євгена,Євген
Миколайовича,Миколайович
Дунаєва,дунаєва
Сергія,Сергій
Володимировича,володимирович
та,та
Іоффе,іоффе
Юлія,юлія
Яковича,якович
зі,зі
складу,склад
депутатської,депутатська
фракції,фракція
політичної,політичний
партії,партія
Опозиційний,опозиційний
блок,блок
у,у
Верх,верх
овній,овен
Раді,раді
України,Україна
восьмого,восьмий
скликання,скликання
––––––––––,–––––––
Заключне,заключне
повідомлення,повідомлення
Відповідно,відповідно
до,до
статті,стаття
601,601
Регламент,регламент
у,у
Верховної,верховний
Ради,рада
України,Україна
повідомляю,повідомля
про,про
створення,створення
у,у
Верховній,верховній
Раді,раді
України,Україна
восьмого,восьмий
скликання,скликання
міжфракційного,міжфракційний
депутатського,депутатський
об,об
’єд-,’єд-
нання,нання
Опозиц,опозиц
ійна,ійна
платформа,платформа
За,за
життя,життя
Наголо,наголо
шую,шуя
не,не
групи,група
5,5
а,а
міжфракційного,міжфракційний
об,об
’єднання,’єднання
Співголовами,співголова
цього,цей
об,об
’єднання,’єднання
обрано,обрано
народних,народний
депутатів,депутат
України,Україна
Бойка,бойко
Юрія,юрія
Анатолійовича,Анатолійович
та,та
Рабіновича,Рабінович
Вадима,вадима
Зіновійовича,зіновійович
––––––––––,–––––––
Отже,отже
продовжуємо,продовжувати
розгляд,розгляд
поправок,поправок
внесених,внесений
до,до
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
спрощення,спрощення
досудового,досудове
розслідування,розслідування
окремих,окремий
категорій,категори
кри,кри
мінальних,мінальни
правопорушень,правопорушень
№,№
7279,7279
д,д.
Усі,увесь
заяви,заява
на,на
виступ,виступ
и,и
будуть,бути
після,після
завершення,завершення
розгляду,розгляд
питання,питання
за,за
20,20
25,25
хвилин,хвилина
У,у
нас,ми
залиши,залиши
лося,лося
небагато,небагато
питань,питання
і,і
поправок,поправок
Прошу,прош
авторів,автор
поправок,поправок
підготу,підготу
ватися,ватися
до,до
дискусії,дискусія
На,на
трибуну,трибуна
запрошується,запрошується
голов,голов
а,а
Комітету,комітет
з,з
питань,питання
законодавчого,законодавчий
забезпечення,забезпечення
правоохоронної,правоохоронная
діяльності,діяльність
Кожем,кож
’якін,’якін
Андрі,андрі
й,й
Анатолійович,анатолійович
КОЖЕМ’ЯКІН,кожем’якіна
А,а
А,а
голова,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
законодавчого,законодавчий
забезпечення,забезпечення
правоохоронної,правоохоронная
діяльності,діяльність
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Батьківщина,батьківщина
Добрий,добрий
день,день
Ми,ми
продовжу,продовжа
ємо,щмо
розгляд,розгляд
законопр,законопр
оекту,оекта
№,№
7279,7279
-д,-д
з,з
поправки,поправки
202,202
ГОЛОВУЮЧИЙ,головуючий
Слово,слово
для,для
виступу,виступ
нада,нада
ється,ється
Олен,олен
і,і
Сотник,сотник
Будь,бути
ласка,ласка
СОТНИК,сотник
О,О.
С,С.
секретар,секретар
Комітету,комітет
Верховної,верховний
Ради,рада
У,у
країни,країна
з,з
питань,питання
європейської,європейський
інт,інт
еграції,еграція
загальнодержавний,загальнодержавний
багатомандат,багатомандат
ний,ний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Об’єднання,об’єднання
Самопоміч,Самопоміч
Дякую,дякувати
пане,пане
головуючий,головуючий
Зараз,зараз
ми,ми
підійшли,підійшли
до,до
розв,розва
’язки,’язок
в,в
цьому,це
законопроекті,законопроект
Нагадаю,нагада
ми,ми
розглядаємо,розглядати
стадію,стадія
саме,саме
завершення,завершення
дізнання,дізнання
Моя,мій
поправка,поправка
стосується,стосуватися
виключення,виключення
ряду,ряд
норм,норма
з,з
цієї,цей
статті,стаття
але,але
хочу,хотіти
зазначити,зазначити
ключове,ключове
Насправ,насправа
ді,ді
завершення,завершення
дізнання,дізнання
яке,який
пропонується,пропонується
ав,ав
торами,тори
цього,цей
законопроекту,законопроект
є,бути
нічим,ніщо
іншим,інший
як,як
фактично,фактично
можливістю,можливість
для,для
правоохоронців,правоохоронець
під,під
час,час
дізнання,дізнання
зібрати,зібрат
абсолютно,абсолютно
у,у
вільній,вільній
формі,форма
докази,докази
потім,потім
це,це
перекваліфікувати,перекваліфікувати
як,як
злочин,злочин
і,і
розглядати,розглядати
ці,цей
справи,справа
вже,вже
як,як
к,к
римінальні,римінальний
проти,проти
людей,людина
Більше,більше
того,те
у,у
цьому,це
законопроекті,законопроект
не,не
передбачається,передбачається
можливості,можливість
6,6
людині,людина
оскаржити,оскаржити
в,в
суді,суд
пояснення,пояснення
які,який
в,в
неї,вона
відібрали,відібрати
потім,потім
вико,вико
ристали,ристали
їх,вони
у,у
цьому,це
провад,провад
женні,ження
як,як
докази,докази
Отже,отже
на,на
людей,людина
чинити,чинити
меться,меться
тиск,тиск
і,і
це,це
є,бути
порушенням,порушення
прав,право
л,л
юдини,юдини
Дякую,дякувати
Веде,вести
засідання,засідання
Перший,перший
заступник,заступник
Голови,голова
Верховної,верховний
Ради,рада
України,Україна
ГЕРАЩЕНКО,геращенко
І,і
В,в
ГОЛОВУЮЧА,головік
Дяку,дяка
ю,ю
Шановні,шановний
колеги,колега
прошу,просити
визначатися,визначатися
щодо,щодо
поправки,поправки
202,202
Шум,шум
у,у
залі,зал
Погано,погано
чути,чути
головуючу,головуюч
і,і
доповідачів,доповідачит
тому,тому
що,що
у,у
залі,зал
стоїть,стояти
гул,гул
За,за
56,56
Поправку,поправка
відхилено,відхилити
Наступна,наступна
поправка,поправка
205,205
пані,пані
Сотник,сотник
СОТНИК,сотник
О,О.
С,С.
Дякую,дякувати
пані,пані
головуюча,головуюча
Поправка,поправка
205,205
безпосе,безпосе
редньо,редньо
стосується,стосуватися
ознайомлення,ознайомлення
з,з
матеріала,матеріала
ми,ми
обвинувального,обвинувальне
акта,акта
Знову,знову
таки,таки
навіть,навіть
на,на
цій,цей
стадії,стадія
ми,ми
маємо,мати
ситуацію,ситуація
коли,коли
ознайомлення,ознайомлення
як,як
одна,один
з,з
ключових,ключови
гарантій,гарантія
захисту,захист
прав,право
людини,людина
і,і
можливості,можливість
під,під
готуватися,готуватися
до,до
захисту,захист
в,в
суді,суд
від,від
тих,той
обвинувачень,обвинувачення
які,який
пред,пред
’являються,’являються
особі,особа
у,у
цьому,це
випадку,випадок
т,т.
акож,акож
обмежується,обмежуватися
Тому,тому
що,що
автори,автор
вирішили,вирішити
якщо,якщо
це,це
кримінальний,кримінальний
проступок,проступок
то,то
в,в
принципі,принципі
навіщо,навіщо
надавати,надават
людині,людина
гарантії,гарантія
зг,зг
ідно,ідно
з,з
Конвенці,конвенці
єю,єю
на,на
справедливий,справедливий
суд,суд
і,і
на,на
можли,можли
вість,вість
ознайом,ознай
люватися,люватися
в,в
будь,бути
-якому,-яке
випадку,випадок
з,з
матеріалами,матеріал
Я,я
вже,вже
мовчу,мовч
про,про
нереалістичні,нереалістичні
строки,строк
ц,ц
ього,що
ознайомлення,ознайомлення
Тому,тому
пропоную,пропонувати
хоча,хоча
б,б
надавати,надават
можливість,можливість
людям,людина
ознайомлюватися,ознайомлюватися
з,з
матеріалам,матеріал
и,и
справи,справа
в,в
електронній,електронний
формі,форма
щоб,щоб
вони,вони
навіть,навіть
у,у
цей,цей
об-,об-
межений,межений
строк,строк
годин,година
а,а
доба,доба
мали,мати
можливість,можливість
реально,реально
підгот,підгот
уватися,уватися
до,до
захисту,захист
в,в
суді,суд
Дякую,дякувати
ГОЛОВУЮЧА,головік
Будь,бути
ласка,ласка
коментар,коментар
КОЖЕМ’ЯКІН,кожем’якіна
А,а
А,а
Дякую,дякувати
пані,пані
Олено,олено
за,за
конструкт,конструкт
ивну,ивень
критику,критика
В,в
и,и
говорит,говорит
е,е
майже,майже
все,все
правильно,правильно
але,але
треба,треба
рухатися,рухатися
вперед,вперед
Дійсно,дійсно
комітет,комітет
відхилив,відхилив
вашу,ваш
поправку,поправка
тому,тому
що,що
вручення,вручення
7,7
електронних,електронний
копій,копія
документів,документ
наразі,наразі
вбачається,вбачається
неможливим,неможливий
з,з
прак,прак
тичної,тична
точки,точка
зору,зір
Коротко,коротко
і,і
зрозуміло,зрозуміло
Дякую,дякувати
ГОЛОВУЮЧА,головік
Шановні,шановний
колеги,колега
прошу,просити
ви,ви
значатися,значатися
щодо,щодо
поправки,поправки
205,205
За,за
77,77
Поправку,поправка
відхилено,відхилити
Поправка,поправка
208,208
Семенуха,семенух
наполягає,наполягати
Будь,бути
ласка,ласка
СЕМЕНУХА,семенуха
Р,р
С,С.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
пи,пи
тань,тань
інформатизації,інформатизація
та,та
зв’язку,зв’язок
загальнодержавний,загальнодержавний
бага,бага
томандат,томандат
ний,ний
виборчий,виборчий
округ,окр
політичн,політичн
а,а
партія,партія
Об’єднання,об’єднання
Самопоміч,Самопоміч
Шановні,шановний
колеги,колега
дана,дана
поправка,поправка
покликана,покликана
захистити,захистити
права,право
обвинува,обвинува
ченого,чене
Йдеться,йтися
про,про
проведення,проведення
скороченого,скорочений
судового,судовий
провадже,провадже
ння,ння
щодо,щодо
кримінального,кримінальний
проступку,проступка
Згідно,згідно
з,з
проект,проект
ом,ом
закону,закон
така,такий
про,про
цедура,цедура
проходить,проходити
у,у
разі,раз
якщ,якщ
о,о
обвинувачений,обвинувачений
беззаперечно,беззаперечно
визнає,визнавати
свою,свій
вину,вина
і,і
згоден,згодний
з,з
розглядом,розгляд
обвинувального,обвинувальне
акта,акта
Але,але
в,в
законо,законо
проекті,проект
не,не
сказано,сказати
у,у
який,який
саме,саме
спосіб,спосіб
він,він
може,могти
визнавати,визнавата
свою,свій
провину,провина
і,і
чи,чи
відомо,відомо
йому,він
про,про
нас,ми
лідки,лідки
тих,той
дій,дія
Тому,тому
у,у
своїй,свій
поправ,поправ
ці,цей
пропоную,пропонувати
захистити,захистити
обви,обва
нуваченого,нувачене
аби,аби
в,в
скоєному,скоєний
він,він
зізнавався,зізнавався
скориставшись,скориставшись
послугами,послуга
захисника,захисника
тобто,тобто
розуміючи,розуміюч
наслідки,наслідок
своїх,свій
дій,дія
Прошу,прош
підтримати,підтримати
Дякую,дякувати
ГОЛОВУЮЧА,головік
Шановні,шановний
колеги,колега
прошу,просити
визначатися,визначатися
щодо,щодо
поправки,поправки
208,208
За,за
80,80
Поправку,поправка
відхилено,відхилити
Поправка,поправка
209,209
Сотник,сотник
СОТНИК,сотник
О,О.
С,С.
Дякую,дякувати
пані,пані
головуюча,головуюча
Я,я
підтримую,підтримуя
коле,коле
гу,ма
Семенуху,семенух
і,і
продовжую,продовжую
наполягати,наполягат
на,на
такому,такий
Незважаючи,незважаючи
на,на
те,те
що,що
в,в
цьому,це
парламенті,парламент
ми,ми
говоримо,говоримо
що,що
захищаємо,захищай
права,право
людини,людина
взагалі,взагалі
неможливо,неможливо
ГОЛОВУЮЧА,головік
Вибачте,вибачте
шановна,шановна
пані,пані
Олено,олено
8,8
Шановні,шановний
колеги,колега
дуже,дуже
вас,ви
прошу,просити
з,з
повагою,повага
ставитися,ставитися
до,до
тих,той
наших,наш
колег,колега
які,який
доопрацьовували,доопрацьовували
законопроект,законопроект
Не,не
чутно,чутно
жодного,жодний
слова,слово
Можна,можна
тихіше,тихіше
обговорювати,обговорювати
бюджетний,бюджетний
процес,процес
Пані,пані
Олено,олено
1,1
хвилин,хвилина
а,а
будь,бути
ласка,ласка
СОТНИК,сотник
О,О.
С,С.
Дякую,дякувати
Я,я
вважаю,вважати
що,що
в,в
цьому,це
парламенті,парламент
ми,ми
не,не
маємо,мати
жодного,жодний
права,право
голосувати,голосуват
за,за
законопроект,законопроект
у,у
якому,який
фактично,фактично
передбачається,передбачається
можливість,можливість
відмовитися,відмовитися
від,від
права,право
на,на
справедливий,справедливий
суд,суд
без,без
встано,встано
влення,влення
жодних,жодний
гарантій,гарантія
офіційно,офіційно
вия,вия
вити,вити
що,що
людина,людина
це,це
зробила,зробити
добровільно,добровільно
Законопроект,законопроект
виписаний,виписаний
таким,такий
чином,чин
що,що
людин,людина
у,у
можуть,могти
затримати,затримати
на,на
72,72
години,година
примусити,примусити
до,до
дачі,дач
пояснень,пояснення
визнання,визнання
вини,вини
унеможливити,унеможливити
належним,належний
чин,чин
ом,ом
ознайомитися,ознайомитися
з,з
матеріалами,матеріал
а,а
потім,потім
ще,ще
й,й
відмовитися,відмовитися
від,від
справедливого,справедливий
суду,суд
Це,це
жорстке,жорсткий
порушення,порушення
Конвенції,конвенція
про,про
захист,захист
прав,право
людини,людина
Я,я
вважаю,вважати
що,що
в,в
цьому,це
залі,зал
неприй,неприй
нятно,нятно
голосувати,голосуват
за,за
такий,такий
формат,формат
Більше,більше
того,те
у,у
цій,цей
поправ,поправ
ці,цей
я,я
наголошую,наголошувати
на,на
тому,тому
що,що
затрима,затрим
на,на
особа,особа
має,мати
менше,менше
пра,пра
в,в
ніж,ніж
особа,особа
яку,який
не,не
затримали,затримати
тому,тому
що,що
в,в
неї,вона
навіть,навіть
немає,немати
можливості,можливість
ознайо,ознайо
митися,митися
з,з
матеріалами,матеріал
справи,справа
її,вона
справа,справа
негайно,негайно
напра,напра
вляється,вляється
до,до
суду,суд
Дякую,дякувати
ГОЛОВУЮЧА,головік
Пане,пане
Кожем,кож
’якін,’якін
прошу,просити
надати,надати
коментар,коментар
КОЖЕМ’ЯКІН,кожем’якіна
А,а
А,а
Дякую,дякувати
пані,пані
О,О.
лено,лено
за,за
неодноразову,неодноразов
конструктивну,конструктивна
критику,критика
У,у
цьому,це
залі,зал
приймали,приймали
рішення,рішення
щодо,щодо
більш,більш
неприємних,неприємний
питань,питання
т,т.
ому,вона
не,не
варто,варто
звинувачувати,звинувачувати
цей,цей
прое,прое
кт,кт
яки,яки
й,й
два,два
з,з
половиною,половина
роки,рік
готувався,готувався
Більше,більше
того,те
ми,ми
використали,використали
досвід,досвід
європейських,європейський
партнерів,партнер
і,і
робоча,робоча
група,група
внесл,внесл
а,а
всі,весь
поправки,поправки
які,який
без,без
перебільшення,перебільшення
вважає,вважати
на,на
сьогодні,сьогодні
доцільн,доцільн
ими,вма
Тому,тому
що,що
ми,ми
закри,закра
ваючи,ваючи
очі,око
разом,разом
з,з
вами,ви
здійснювали,здійснювали
перебільшення,перебільшення
щодо,щодо
і,і
нших,нши
за,за
конопроектів,конопроект
зокрема,зокрема
Закону,закон
Про,про
Державне,державний
бюро,бюро
розслідувань,розслідування
До,до
чого,що
цей,цей
закон,закон
призвів,призвести
У,у
же,же
рік,рік
не,не
можемо,могти
цю,цей
правоохоронну,правоохоронну
структуру,структура
ввести,ввести
в,в
дію,дія
Ось,ось
нам,ми
і,і
допомогли,допомогли
наші,наш
європейські,європейський
колеги,колега
переважно,переважно
внесенням,внесення
своїх,свій
поправок,поправок
та,та
рекомендацій,рекомендація
Дякую,дякувати
9,9
ГОЛОВУЮЧА,головік
Дякую,дякувати
шановний,шановний
колего,коле
за,за
коментар,коментар
Прошу,прош
визначатися,визначатися
щодо,щодо
поправки,поправки
209,209
Шанов,шанов
ні,ні
колеги,колега
голосується,голосується
важливий,важливий
законопроект,законопроект
Було,бути
б,б
добре,добре
якби,якби
колеги,колега
слухали,слухали
дебати,дебат
щодо,щодо
п,п.
оправок,оправок
і,і
визначалися,визначалися
За,за
59,59
Поправку,поправка
відхилено,відхилити
Поправка,поправка
214,214
Сотник,сотник
прошу,просити
СОТНИК,сотник
О,О.
С,С.
Дякую,дякувати
Це,це
моя,мій
остання,останній
поправка,поправка
том,том
у,у
час,час
я,я
використаю,використа
для,для
того,те
щоб,щоб
сказати,сказати
таке,такий
Цей,цей
законопроект,законопроект
не,не
для,для
людей,людина
а,а
для,для
правоохоронців,правоохоронець
Його,його
прийняття,прийняття
спро,спро
стить,стить
життя,життя
лише,лише
правоохоронцям,правоохоронець
Виникає,виникає
запитання,запитання
чи,чи
це,це
дійсно,дійсно
так,так
До,до
речі,річ
автори,автор
законопрое,законопрое
кту,кто
механічно,механічно
