Вівторок,вівторок
75,75
Результати,результат
поіменної,поіменна
реєстр,реєстр
ації,ація
Результати,результат
поіменного,поіменний
голосування,голосування
3,3
ЗАСІДАННЯ,засідання
ТРИДЦЯТЬ,тридцять
СЬОМЕ,се
Сесійний,сесійний
зал,зал
Верховної,верховний
Ради,рада
України,Україна
6,6
грудня,грудень
2016,2016
року,рік
10,10
година,година
10,10
хвилин,хвилина
Веде,вести
засідання,засідання
Голова,голова
Верховної,верховний
Ради,рада
України,Україна
ПАРУБІЙ,парубій
А,а
В,в
ГОЛОВУЮЧИЙ,головуючий
Доброго,добрий
ранку,ранок
шановні,шановня
колеги,колега
Прошу,прош
заходити,заходити
до,до
залу,зал
займати,займат
робочі,робоча
місця,місце
пі,пі
дготуватися,дготуватися
до,до
реєстрації,реєстрація
Можемо,можемо
проводити,проводити
реєстрацію,реєстрація
Шановні,шановний
колеги,колега
прошу,просити
зареєстру,зареєстр
ватися,ватися
У,у
залі,зал
Верховної,верховний
Ради,рада
України,Україна
зареєстровано,зареєстровано
355,355
народних,народний
депутатів,депутат
Ранкове,ранкове
пленарне,пленарне
засідання,засідання
оголошується,оголошується
відкритим,відкритий
Шановні,шановний
колеги,колега
сьогодні,сьогодні
ми,ми
відзначаємо,відзначає
25-ту,25-т
річниц,річниц
ю,ю
Зброй,зброй
них,вони
Сил,сила
України,Україна
Історії,історія
сучасних,сучасний
захисників,захисник
України,Україна
25,25
років,рік
Сучас,сучас
не,не
українське,український
військо,військо
творилося,творилося
зусиллями,зусилля
відданих,відданий
синів,син
України,Україна
справжніх,справжній
патріотів,патріот
Українське,українське
військо,військо
було,бути
відроджене,відроджене
25,25
років,рік
тому,тому
але,але
витворилос,витворилос
я,я
у,у
2014,2014
році,рік
в,в
горнилі,горнило
війни,війна
на,на
Донбасі,Донбас
Схиляю,схиля
голову,голова
в,в
пам’ять,пам’ять
про,про
всі,весь
покоління,покоління
воїнів,воїн
борців,борець
за,за
не,не
залежність,залежність
України,Україна
особливо,особливо
про,про
героїв,герой
визвольної,визвольна
війни,війна
на,на
Донбасі,Донбас
У,у
цей,цей
день,день
особлива,особливий
вдячність,вдячність
українським,український
військовим,військовий
які,який
жертовно,жертовно
захищають,захищати
незалежність,незалежність
України,Україна
та,та
спокій,спокій
всього,все
вільного,вільний
світу,світ
Шановні,шановний
колеги,колега
закликаю,заклик
стоячи,стояч
аплодисментами,аплодисмент
привітати,привітати
наших,наш
воїнів,воїн
на,на
східному,східний
фронті,фронт
та,та
по,по
всій,весь
Україні,Україна
зі,зі
святом,свято
Збройних,збройний
Сил,сила
У,у
залі,зал
багато,багато
воїнів,воїн
які,який
пройшли,пройти
війну,війна
Це,це
привітання,привітання
друзі,друг
побратими,побратим
і,і
для,для
вас,ви
Колеги,Колеги
відповідно,відповідно
до,до
Регламенту,регламент
ми,ми
маємо,мати
30,30
хвилин,хвилина
для,для
висту,вист
пів,пів
уповноважених,уповноважений
представників,представник
від,від
депутатських,депутатський
фракцій,фракція
та,та
груп,група
Нагадаю,нагада
що,що
минулого,минулий
вівторка,вівторка
склалася,склалася
неприємна,неприємна
ситуація,ситуація
коли,коли
на,на
жаль,жаль
деякі,деякий
фракції,фракція
не,не
записалися,записатися
сподіваючись,сподіваючись
виступ,виступ
ати,ати
останніми,останніми
Це,це
призвело,призвело
до,до
непорозумінь,непорозуміння
і,і
маніпулювання,маніпулювання
Мені,я
в,в
президії,президія
дове,дове
лося,лося
самостійно,самостійно
визначати,визначат
хто,хто
за,за
ким,хто
має,мати
виступати,виступати
і,і
відповідно,відповідно
вести,вести
незрозумілі,незрозуміль
дискусії,дискусія
4,4
У,у
залі,зал
знаходяться,знаходитися
представники,представник
всіх,весь
фракцій,фракція
Блок,блок
Петра,петра
Порошенка,Порошенко
Народний,народний
ф,ф
ронт,ронт
Радикальної,радикальна
партії,партія
Батьківщина,батьківщина
Опозиційний,опозиційний
блок,блок
та,та
груп,група
Партія,партія
Відродження,відродження
і,і
Воля,воля
народу,народ
Під,під
час,час
запису,запис
представників,представник
фракцій,фракція
комп’ютер,комп’ютер
самостійно,самостійно
визначає,визначати
послідовність,послідовність
виступів,виступ
Я,я
не,не
хочу,хотіти
мати,мати
такої,такий
прерогативи,прерогативи
визначати,визначат
самостійно,самостійно
Я,я
хочу,хотіти
щоб,щоб
це,це
було,бути
справедливо,справедливо
однаково,однаково
для,для
всіх,весь
щоб,щоб
більше,більше
таких,такий
дешевих,дешевий
і,і
дрібних,дрібний
маніпуляцій,маніпуляція
вибачте,вибачте
як,як
у,у
дитячому,дитячий
садочку,садочок
у,у
цьому,це
залі,зал
не,не
було,бути
Домовилися,домовитися
колеги,колега
Усі,увесь
згодні,згодні
зі,зі
мною,я
Справедливо,справедливо
буде,бути
Мудро,мудро
буде,бути
Колеги,Колеги
прошу,просити
записатися,записатися
на,на
ви,ви
ступи,ступи
від,від
фракцій,фракція
Будь,бути
ласка,ласка
Дякую,дякувати
за,за
розуміння,розуміння
До,до
слова,слово
запрошується,запрошується
Біловол,біловол
Олександр,Олександр
Миколайович,Миколайович
від,від
групи,група
Партія,партія
Відродження,відродження
БІЛОВОЛ,біловол
О,О.
М,М.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
пи-,пи-
тань,тань
охорони,охорона
здоров’я,здоров’я
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
180,180
Хар,хар
ків,ків
ська,ська
область,область
самовисуванець,самовисуванець
Шановні,шановний
народні,народний
депутати,депутат
Шановний,шановний
пане,пане
Голово,голово
Шановна,шановний
президіє,президіє
Зосереджуся,зосереджуся
на,на
деяких,деякий
питаннях,питання
що,що
хвилюють,хвилюють
нині,нині
нашу,наш
державу,держава
Одним,один
із,із
головних,головний
серед,серед
них,вони
є,бути
сані,сані
тарно,тарно
епідеміологічна,епідеміологічна
ситуація,ситуація
в,в
країні,країна
Рівень,рівень
вакцинаці,вакцина
ї,ї
населення,населення
на,на
сьогодні,сьогодні
катастрофічний,катастрофічний
Загальнодержавна,загальнодержавна
програма,програма
імунопрофі,імунопроф
лактики,лактика
затверджена,затверджена
у,у
2009,2009
році,рік
завершилася,завершилася
минулого,минулий
року,рік
Міні,міні
стерство,стерство
охорони,охорона
здоров’я,здоров’я
не,не
внесло,внесло
на,на
розгляд,розгляд
оновленої,оновлена
програми,програма
національної,національний
стратегії,стратегія
з,з
профілактики,профілактики
інфекційн,інфекційн
их,их
хвороб,хвороб
Наведу,навед
показники,показник
статистики,статистика
Обсяг,обсяг
вакцинації,вакцинація
на,на
сьогодні,сьогодні
досяг,досяг
найнижчого,найнижче
рівня,рівень
за,за
весь,весь
період,період
незалежності,незалежність
нашої,наш
держави,держава
Із,із
95,95
відсотків,відсоток
населення,населення
яке,який
має,мати
бути,бути
щеплене,щеплене
60,60
відсотків,відсоток
не,не
вакци,вакц
новано,новано
проти,проти
туберкульозу,туберкульоз
третина,третина
проти,проти
поліом,полі
ієліту,ієліт
і,і
кору,кор
4,4
від,від
сотки,сотки
від,від
кашлюку,кашлюк
і,і
дифтерії,дифтерія
Шановний,шановний
пане,пане
Голово,голово
закликаю,заклик
Верховну,верховна
Раду,рада
Андрію,Андрій
Воло,воло
димировичу,димирович
ми,ми
з,з
вам,ви
говорили,говорити
про,про
це,це
на,на
засіданні,засідання
Погоджувальної,погоджувальна
ради,ради
разом,разом
з,з
Кабінетом,кабінет
Міністрів,міністр
розглянути,розглянути
це,це
питання,питання
на,на
засіданні,засідання
уряду,уряд
вне,вне
сти,сто
конкретні,конкретний
пропозиції,пропозиція
та,та
розв’,розва
язати,язати
нагальну,нагальна
на,на
сьогодні,сьогодні
проблему,проблема
Країною,країна
шириться,шириться
епідемія,епідемія
грипу,грип
У,у
чотирьох,чотири
регіонах,регіон
зафіксовано,зафіксувати
перевищення,перевищення
порогу,порога
захворюваності,захворюваність
На,на
сьогодні,сьогодні
недо,недо
статньо,статньо
вакцинованих,вакцинований
не,не
здійснюються,здійснюватися
профілактичні,профілактични
заходи,захід
Ми,ми
по,по
винні,виння
насамперед,насамперед
об’єднати,об’єднати
наші,наш
зусилля,зусилля
Міністерство,міністерство
охорони,охорона
5,5
здоров’я,здоров’я
має,мати
розробити,розробити
стратегію,стратегія
для,для
вирішення,вирішення
цього,цей
нагального,нагальне
питання,питання
Хочу,хотіти
акцентувати,акцентуват
увагу,увага
на,на
головному,головний
документі,документі
проекті,проект
Державного,державний
бюджету,бюджет
на,на
2017,2017
рік,рік
Н,Н.
аша,аша
група,група
проаналізувала,проаналізувал
його,його
і,і
констатує,констатує
що,що
переважна,переважна
більшість,більшість
статей,стаття
не,не
містять,містити
стимулів,стимул
для,для
підтримки,підтримка
вітчизняного,вітчизняний
виробника,виробник
Наведу,навед
дані,дані
статистики,статистика
На,на
сьогодні,сьогодні
ми,ми
втратили,втратити
55,55
відсотків,відсоток
ринку,ринок
СНД,СНД
маємо,мати
28,28
відсотків,відсоток
падіння,падіння
е,е
кспорту,кспорт
Уряд,уряд
хоче,хотіти
зібрати,зібрат
20,20
мільярдів,мільярд
податків,податок
11,11
6,6
мільярд,мільярд
а,а
з,з
них,вони
від,від
акцизу,акциз
на,на
тютюн,тютюн
і,і
алкоголь,алкоголь
5,5
4,4
мільярда,мільярд
на,на
дизельне,дизельне
пальне,пальне
Шановні,шановний
колеги,колега
за,за
кликаю,клик
вас,ви
разом,разом
з,з
урядом,урято
не,не
вносити,вносити
популістські,популістський
законопроекти,законопроект
а,а
об’єднатися,об’єднатися
і,і
приймати,приймати
лише,лише
такі,такий
що,що
узгоджуватимуться,узгоджуватимуться
з,з
Держав,держав
ним,він
бюджетом,бюджет
на,на
2017,2017
рік,рік
І,і
останнє,останній
Шановні,шановний
колеги,колега
завтра,завтра
7,7
грудня,грудень
День,день
працівни,працівни
ків,ків
місцевого,місцевий
самоврядування,самоврядування
Це,це
проф,проф.
есійне,есійне
свято,свято
всіх,весь
хто,хто
працює,працювати
в,в
сільських,сільськи
селищних,селищний
районних,районни
обласних,обласний
радах,радах
Це,це
ті,той
люди,людина
які,який
представляють,представляють
народних,народний
обранців,обранець
Я,я
хочу,хотіти
від,від
імені,ім’я
депутатського,депутатський
корпусу,корпус
депутатськ,депутатськ
ої,ої
групи,група
Партія,партія
Відродження,відродження
привітати,привітати
всіх,весь
представників,представник
органів,орган
місцевого,місцевий
самоврядування,самоврядування
побажати,побажати
їм,вони
успіхів,успіх
у,у
розбудові,розбуд
прекрасної,прекрасна
і,і
незалежної,незалежний
України,Україна
Дякую,дякувати
за,за
увагу,увага
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Від,від
Народного,народний
фронту,фронт
Максим,макси
Бурбак,бурбак
Буд,буд
ь,ь
ласка,ласка
БУРБАК,бурбак
М,М.
Ю,Ю
перший,перший
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
у,у
справах,справа
ветеранів,ветеран
учасників,учасник
бойових,бойовий
дій,дія
учасників,учасник
антитерористичної,антитерористична
операції,операція
та,та
людей,людина
з,з
інвалідністю,інвалідність
одномандат,одномандат
ний,ний
виборчий,виборчий
округ,окр
№,№
204,204
Чернівецька,чернівецький
область,область
політична,політична
пар,пара
тія,тія
Народний,народний
фронт,фронт
Пане,пане
Голово,голово
Прошу,прош
вивести,вивести
на,на
екран,екран
слайд,слайд
Шановні,шановний
колеги,колега
Два,два
з,з
половиною,половина
роки,рік
Народний,народний
фронт,фронт
заявляє,заявляти
про,про
системну,системн
дискредитаційну,дискредитаційна
кампанію,кампанія
проти,проти
лідера,лідера
Арсенія,арсенія
Яценю,я
ка,ка
та,та
очолюваного,очолюваний
ним,він
уряду,уряд
Брудна,брудна
інформаційна,інформаційна
атака,атака
мала,мати
орг,орг
а-,а-
нізований,нізований
і,і
безпрецедентно,безпрецедентно
масштабний,масштабний
характер,характер
Ми,ми
відчули,відчути
на,на
собі,себе
цинічні,цинічні
чорні,чорний
технології,технологія
які,який
мали,мати
за,за
мету,мету
знищити,знищити
нашу,наш
політичну,політичний
команду,команда
Суспільство,суспільство
отримало,отримати
шокуючі,шокуюча
підтвердження,підтвердження
того,те
як,як
за,за
корупційні,корупційня
гроші,гроші
в,в
Україні,Україна
можна,можна
змінювати,змінювати
уряди,уряд
вбивати,вбивати
довіру,довір
ефективних,ефективний
прозахідних,прозахідний
керівників,керівник
на,на
найвищих,найвищи
посадах,посада
як,як
за,за
6,6
вкрадені,вкрадень
в,в
держави,держава
кошти,кошти
обдурювати,обдурювати
громадян,громадянин
визначати,визначат
їхнє,їхній
майбутнє,майбутнє
та,та
долю,доля
країни,країна
Мова,мова
йде,йти
про,про
державний,державний
злочин,злочин
здійснюючи,здійснюючи
який,який
мафія,мафія
реалі,реал
зувала,зувала
свої,свій
інтереси,інтерес
на,на
найвищих,найвищи
щаблях,щабля
влади,влада
Британська,британська
газета,газета
The,The
Independent,Independent
опублікувала,опублікувала
зізнання,зізнання
народного,народний
депутата,депутат
Онищен,онищен
ка,ка
який,який
донедавна,донедавна
перебував,перебува
у,у
цій,цей
сесійній,сесійній
залі,зал
Він,він
розповів,розповісти
що,що
на,на
замовлення,замовлення
організував,організувати
цькування,цькування
Арсенія,арсенія
Яценюка,яценюк
бо,бо
Прем’єр,прем’єрний
міністр,міністр
заважав,заважати
йому,він
здійснювати,здійснювати
к,к
орупційні,орупційна
злочини,злочин
За,за
словами,слово
Онищенка,онищенка
замовник,замовник
сказав,сказати
цитую,цитува
газету,газет
Яценюк,яценюк
наш,наш
ворог,ворог
і,і
знищить,знищить
усе,усе
що,що
ми,ми
хочемо,хотіти
зробити,зробити
Ви,ви
повинні,повинний
допомогти,допомогти
мені,я
викинути,викинути
його,його
Тому,тому
Онищенко,онищенко
організував,організувати
відділ,відділ
пропаганди,пропаганда
проти,проти
обраного,обраний
Прем’єр,прем’єрний
міністра,міністр
Я,я
вбив,вбив
його,його
за,за
один,один
рік,рік
каже,казати
він,він
стверджуючи,стверджуюч
що,що
рейтинг,рейтинг
Яценюка,яценюк
впав,впасти
із,із
30,30
до,до
1,1
відсотка,відсоток
За,за
його,його
словами,слово
щомісячним,щомісячний
бюджетом,бюджет
у,у
3,3
мільйони,мільйони
доларів,долар
він,він
фінансував,фінансува
протести,протест
антиурядові,антиуряд
акції,акція
та,та
підкуповував,підкуповува
засоби,засіб
масової,масова
інформації,інформація
заради,заради
публікацій,публікація
проти,проти
Яценюка,яценюк
витративши,витративш
вдумайтеся,вдумайтесь
30,30
міль,міль
йонів,йонева
доларів,долар
майже,майже
1,1
мільярд,мільярд
гривень,гривня
Покажіть,покажіть
другий,другий
слайд,слайд
Відс,відс
тавка,тавка
уряду,уряд
була,бути
метою,мета
змови,змова
у,у
якій,який
брали,брати
участь,участь
багато,багато
із,із
присутніх,присутні
у,у
цьому,це
залі,зал
Арсеній,арсеній
Яценюк,яценюк
підвищив,підвищив
до,до
70,70
відсотків,відсоток
рентну,рентн
пла,пла
ту,той
за,за
кори,кори
стування,стування
надрами,надра
для,для
спільних,спільний
підприємств,підприємство
що,що
були,бути
годівницею,годівниця
Онищенка,онищенка
Яценюк,яценюк
звіль,звіль
нив,нив
міністра,міністр
екології,екологія
та,та
природніх,природні
ресурсів,ресурс
введеного,введений
в,в
уряд,уряд
за,за
кво,кво
тою,той
фракції,фракція
Батьківщина,батьківщина
Прем’єр,прем’єрний
міністр,міністр
відмовився,відмовитися
призна,призна
чити,чити
у,у
виконавчу,виконавч
владу,влада
людину,людина
яка,який
мала,мати
з,з
абезпечити,абезпечит
корупційні,корупційня
до,до
ходи,хода
з,з
українських,український
надр,надра
Тепер,тепер
ми,ми
знаємо,знати
хто,хто
проплачував,проплачувава
біл,біл
борди,борд
проти,проти
Яценюка,яценюк
замовні,замовні
матеріали,матеріал
у,у
ЗМІ,ЗМІ
брехливі,брехлив
сюжети,сюжет
на,на
телебаченні,телебачення
мітинги,мітинг
під,під
Кабміном,кабмін
Онищенко,онищенко
сам,сам
зізнався,зізнався
в,в
цьому,це
всьому,все
світу,світ
Ми,ми
хочемо,хотіти
нагадати,нагадати
також,також
про,про
частину,частина
цинічної,цинічна
кампанії,кампанія
з,з
дискредитації,дискредитація
уряду,уряд
Яценюка,яценюк
зо,зо
крема,крема
звинувачення,звинувачення
Гордієнка,гордієнка
у,у
крадіжці,крадіжці
7,7
5,5
мільярда,мільярд
гривень,гривня
ГПУ,ГПУ
заявила,заявити
тоді,тоді
цитую,цитува
першого,перший
заступника,заступника
Генерального,генеральний
прокурора,прокурор
Питання,питання
пов’язані,пов’язаний
із,із
заявами,заява
про,про
корупційні,корупційня
діяння,діяння
уряду,уряд
з,з
окрема,окремий
Прем’єр,прем’єрний
міністра,міністр
Яценюка,яценюк
у,у
рамках,рамка
досудового,досудове
розслідування,розслідування
не,не
знайшли,знайти
свого,свій
підтвердження,підтвердження
Ми,ми
хочемо,хотіти
нагадати,нагадати
про,про
звинувачення,звинувачення
Мочанова,мочанова
щодо,щодо
крадіжки,крадіжки
міфічного,міфічне
мільярда,мільярд
Через,через
півроку,пів
після,після
відставки,відставки
Кабміну,кабмін
він,він
зізнав,зізнав
ся,ся
що,що
це,це
була,бути
вигадка,вигадка
і,і
не,не
пам’ятає,пам’ятає
хто,хто
так,так
наполегливо,наполегливо
попросив,попросити
його,його
заявити,заявит
про,про
це,це
на,на
всю,весь
Україну,Україна
в,в
ефірі,ефір
одного,один
з,з
каналів,канал
Нагадаю,нагада
7,7
про,про
прецеденти,прецедент
щодо,щодо
брехні,брехня
на,на
каналі,канал
Інтер,інтер
про,про
заяви,заява
Міхеіла,міхеіла
Саакашвілі,саакашвілі
якого,який
за,за
його,його
зізнанням,зізнання
також,також
наполегливо,наполегливо
просили,просити
інформаційно,інформаційно
атакув,атаку
ати,ати
уряд,уряд
Яценюка,яценюк
І,і
він,він
натхненно,натхненно
долучився,долучився
до,до
цієї,цей
кампанії,кампанія
мріючи,мріючи
про,про
виконання,виконання
даної,данія
йому,він
обіцянки,обіцянка
про,про
посаду,посада
Прем’єр,прем’єрний
міністра,міністр
Арсенія,арсенія
Яценюка,яценюк
дискредитували,дискредитували
ще,ще
й,й
тому,тому
що,що
він,він
своїм,свій
рішенням,рішення
зупинив,зупини
грандіозну,грандіозна
аферу,аферу
арештувавши,арештувавши
1,1
5,5
мільярда,мільярд
доларів,долар
украдених,украдений
режимом,режим
Януковича,Янукович
Ми,ми
заявляємо,заявляти
що,що
ці,цей
кошти,кошти
знову,знову
намагаються,намагатися
вкрасти,вкраст
перепро,перепро
даючи,давати
офшорні,офшорні
компанії,компанія
на,на
яких,який
вони,вони
записані,записаний
за,за
відкати,відката
у,у
80,80
від-,від-
сотків,сотк
За,за
останньою,останній
інформацією,інформація
одна,один
з,з
цих,цей
офшорних,офшорни
компаній,компанія
уже,уже
викуплена,викуплена
тим,те
самим,самим
Онищенком,онищенко
Ко,ко
рупція,рупція
Онищенка,онищенка
заяви,заява
Саака,саака
швілі,швіля
неправда,неправда
Мочанова,мочанова
свідома,свідома
брехня,брехня
Гордієнка,гордієнка
тисячі,тисяча
публіка,публіка
цій,цей
у,у
ЗМІ,ЗМІ
сюжети,сюжет
на,на
телебаченні,телебачення
усе,усе
це,це
виконання,виконання
замовлення,замовлення
Ми,ми
вимагаємо,вимагаємо
від,від
НАБУ,НАБУ
Генеральної,генеральний
прокуратури,прокуратура
назвати,назвати
ім’я,ім’я
замовни,замовни
ка,ка
і,і
виконавців,виконавець
цих,цей
брудних,брудний
технологій,технологія
Прошу,прош
вважати,вважати
мій,мій
виступ,виступ
офіційним,офіційний
зверненням,звернення
фракції,фракція
Народний,народний
фронт,фронт
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
НАБУ,НАБУ
щодо,щодо
роз,роз
слідування,слідування
фактів,факт
викладених,викладений
у,у
британській,британський
газеті,газет
Вимагаємо,вимагаємо
назвати,назвати
ім,ім.
ена,ена
замовників,замовник
та,та
вико,вико
навців,навець
Слава,слава
Україні,Україна
ГОЛО,голо
С,С.
ІЗ,ІЗ
ЗАЛУ,залу
Героям,герой
слава,слава
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Щодо,щодо
фактів,факт
політичної,політичний
корупці,корупка
ї,ї
я,я
вважаю,вважати
неприйнятним,неприйнятний
що,що
за,за
корупційні,корупційня
гроші,гроші
намагаються,намагатися
знищити,знищити
політичні,політичний
партії,партія
Прем’єр,прем’єрний
міністра,міністр
чи,чи
будь,бути
-кого,-ко
іншого,інший
з,з
політичної,політичний
системи,система
Я,я
вважаю,вважати
що,що
такі,такий
факти,факт
має,мати
розслідувати,розслідуват
НАБУ,НАБУ
і,і
Генпрокуратура,генпрокуратура
Прошу,прош
заяву,заява
На-,на-
родного,родне
фронту,фронт
вважати,вважати
депутатсь,депутатсь
ким,хто
запитом,запит
направити,направит
до,до
ГПУ,ГПУ
і,і
НАБУ,НАБУ
Переконаний,переконаний
що,що
для,для
всіх,весь
парламентаріїв,парламентарія
важливе,важливий
якнай,якнай
швидше,швидше
розслідування,розслідування
і,і
публічне,публічне
донесення,донесення
результатів,результат
до,до
народних,народний
депутаті,депутат
в,в
і,і
суспільства,суспільство
Від,від
групи,група
Воля,воля
народу,народ
до,до
слова,слово
запрошується,запрошується
Ярослав,Ярослав
Москаленко,москаленко
Будь,бути
ласка,ласка
МОСКАЛЕНКО,москаленко
Я,я
М,М.
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
екологічної,екологічний
політики,політика
природокористування,природокористування
8,8
та,та
ліквідації,ліквідація
наслідків,наслідок
Чорнобильської,чорнобильська
ка,ка
тастрофи,тастрофи
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
96,96
Київська,київський
область,область
самовисуванець,самовисуванець
Шановні,шановний
колеги,колега
У,у
країні,країна
панує,панувати
хаос,хаос
Правоо,правоо
хоронні,хороння
органи,орган
стріляють,стріляють
одне,один
в,в
одного,один
прокуратура,прокуратура
арештовує,арештовує
працівників,працівник
НАБУ,НАБУ
а,а
корупціонери,корупціонери
заявляють,заявляють
про,про
боротьбу,боротьба
з,з
корупцією,корупція
Не,не
пам’ятаю,пам’ята
більш,більш
непрофе,непрофе
сійної,сійна
вертикалі,вертикалі
виконавчої,виконавчий
влади,влада
за,за
25,25
років,рік
незалежності,незалежність
Дякувати,дякуват
Богу,бог
є,бути
органи,орган
місцевого,місцевий
самоврядування,самоврядування
більшість,більшість
яких,який
покликані,покликан
жити,жити
працювати,працювати
для,для
людей,людина
І,і
нині,нині
цього,цей
плуга,плуг
тягнуть,тягнути
органи,орган
місце,місце
вого,він
самоврядування,самоврядування
тримаючи,тримати
в,в
ладу,лад
на,на
плаву,плава
Хочу,хотіти
привітати,привітати
з,з
цієї,цей
трибуни,трибуна
з,з
професійним,професійний
святом,свято
органи,орган
місцевого,місцевий
самоврядування,самоврядування
Кілька,кілька
слів,слово
про,про
бюджет,бюджет
Шановні,шановний
колеги,колега
депутатська,депутатська
група,група
Воля,воля
народу,народ
складається,складатися
з,з
мажори,мажори
тарників,тарник
Ми,ми
повинні,повинний
поїхати,поїхати
до,до
людей,людина
і,і
пояснити,пояснити
їм,вони
що,що
не,не
можемо,могти
підвищити,підвищит
