П’ятниця,п’ятниця
підприємств,підприємство
спрямованих,спрямований
на,на
широке,широке
викори,викори
стання,стання
торфу,торфа
в,в
комунальній,комунальнія
теплоенергетиці,теплоенергетиця
впровадження,впровадження
газо,газо
генераторних,генераторний
установок,установок
на,на
торфі,торфа
В,в
перспективі,перспектив
планується,планується
ра,ра
ціонально,ціонально
розширювати,розширювати
та,та
впроваджувати,впроваджуват
у,у
виробництво,виробництво
більш,більш
ефективні,ефективня
види,вид
добрив,добрив
з,з
торфу,торфа
та,та
на,на
основі,основа
т,т.
орфу,ори
у,у
тому,тому
числі,число
гуматів,гумат
натрію,натрія
і,і
калію,калія
які,який
застосовуються,застосовуватися
у,у
сільському,сільський
госпо,госпо
дарстві,дарство
і,і
тваринництві,тваринництво
У,у
поточному,поточний
році,рік
Міненерговугілля,міненерговугілля
передбачило,передбачило
розроб,розроб
лення,лення
програми,програма
розвитку,розвиток
торф’я,торф’я
ної,вона
галузі,галузь
України,Україна
на,на
період,період
до,до
2020,2020
року,рік
Зважаючи,зважати
на,на
те,те
що,що
на,на
с,с.
ьогоднішній,ьогоднішній
день,день
існує,існувати
декілька,декілька
проблемних,проблемний
питань,питання
стосовно,стосовно
землевідведення,землевідведення
Міненерговугілля,міненерговугілля
підготувало,підготувало
проект,проект
Закону,закон
України,Україна
“,“
Про,про
внесення,внесення
змін,зміна
до,до
Зе,зе
мельного,мельний
кодексу,кодекс
України,Україна
”,”
Запитання,запитання
стосовно,стосовно
використання,використання
газу,газ
українського,український
видо,видо
бутку,буток
Чому,чому
він,він
не,не
спрямовується,спрямовується
в,в
повному,повний
обсязі,обсяг
населенню,населення
Відповідно,відповідно
до,до
вимог,вимога
статті,стаття
10,10
Закону,закон
України,Україна
“,“
Про,про
засади,засад
функціонування,функціонування
ринку,ринок
природно,природно
го,го
газу,газ
”,”
ресурс,ресурс
природного,природний
газу,газ
для,для
населення,населення
формується,формувться
виключно,виключно
за,за
рахунок,рахунок
товарного,товарне
при,при
родного,родне
газу,газ
видобутого,видобутий
підприємствами,підприємство
державної,державний
форми,форма
власності,власність
а,а
також,також
підприємствами,підприємство
частка,частка
держави,держава
у,у
статутному,статутни
фонді,фонді
яких,який
становить,становити
50,50
відсотків,відсоток
та,та
більше,більше
Однак,однак
необхідно,необхідно
зазначити,зазначити
що,що
з,з
урахуванням,урахування
зменшення,зменшення
споживання,споживання
природного,природний
газу,газ
населенням,населення
обумовленим,обумовлений
у,у
першу,перший
чергу,черга
реалізацією,реалізація
полі,поле
тики,тики
на,на
заохочення,заохочення
енергозбереження,енергозбереження
обсяг,обсяг
споживання,споживання
природ,природ
ного,він
газу,газ
цією,цей
категорією,категорія
споживачів,споживач
у,у
2015,2015
році,рік
становитиме,становити
близько,близько
14,14
мільярдів,мільярд
кубічних,кубічний
метрів,метр
і,і
буде,бути
повністю,повністю
задоволений,задоволений
за,за
рахунок,рахунок
газу,газ
власного,власний
видобутку,видобуток
Природний,природний
газ,газ
який,який
видобув,видобува
ається,ається
приватними,приватни
підприєм,підприє
ствами,ство
вільно,вільно
реалізується,реалізується
іншим,інший
категоріям,категорія
споживачів,споживач
у,у
тому,тому
числі,число
промисловим,промислов
без,без
будь,бути
-яких,-які
обмежень,обмеження
Завдяки,завдяки
цьому,це
6,6
в,в
умовах,умова
суттєвого,суттєвой
скорочення,скорочення
ресурсної,ресурсна
бази,база
цього,цей
енергоносія,енергоносія
на,на
території,територія
України,Україна
вдається,вдаватися
підтримувати,підтримувати
з,з
агальний,агальний
щорічний,щорічний
обсяг,обсяг
видобутку,видобуток
природного,природний
газу,газ
на,на
рівні,рівень
20,20
мільярдів,мільярд
кубічних,кубічний
метрів,метр
Запитання,запитання
стосовно,стосовно
виконання,виконання
проекту,проект
будівництва,будівництво
термі,терма
нала,нала
скрапленого,скраплений
газу,газ
в,в
Одеській,одеський
області,область
з,з
метою,мета
диверсифікації,диверсифікація
постачання,постачання
газу,газ
для,для
країни,країна
Оперативне,оперативне
управлі,управлі
ння,ння
національним,національний
проектом,проект
“,“
LNG,LNG
термінал,термінал
”,”
морський,морський
термінал,термінал
з,з
прийому,прийом
скрапленого,скраплений
природного,природний
газу,газ
здійснює,здійснювати
Державне,державний
підприємство,підприємство
“,“
Національний,національний
проект,проект
“,“
LNG,LNG
термінал,термінал
”,”
Співвиконавцями,співвиконавець
плану,план
заходів,захід
є,бути
Міненерго,Міненерго
вугілля,вугілля
та,та
Національна,національний
акціонерна,акціонерна
компанія,компанія
“,“
Наф,наф
тогаз,тогаз
України,Україна
”,”
Кабінет,кабінет
Міністрів,міністр
України,Україна
своїм,свій
розпорядженням,розпорядження
затвердив,затвердив
попе,попе
реднє,реднє
техніко,техніко
економічне,економічне
обґрунтування,обґрунтування
проекту,проект
яким,який
передба,передба
чається,чається
будівництво,будівництво
на,на
узбережжі,узбережжя
Чорного,чорний
моря,море
в,в
два,два
етапи,етап
LNG,LNG
термінала,термінала
для,для
прийняття,прийняття
скрапленого,скраплений
природного,природний
газу,газ
про,про
ектною,ектна
потужністю,потужність
10,10
мільярдів,мільярд
кубічних,кубічний
метрів,метр
на,на
рік,рік
Місце,місце
розташу,розташа
вання,вання
термінала,термінала
—,—
територія,територія
в,в
районі,район
Аджаликського,аджаликський
лиману,лиман
Одеська,одеська
область,область
На,на
першому,перший
етапі,етапі
передбачається,передбачається
будівництво,будівництво
плавучої,плавуча
установки,установки
для,для
регазифікації,регазифікація
і,і
зберігання,зберігання
газ,газ
у,у
з,з
максималь,максималь
ною,вона
потужністю,потужність
4,4
5,5
мільярда,мільярд
кубічних,кубічний
метрів,метр
на,на
рік,рік
Другий,другий
етап,етап
—,—
це,це
будівництво,будівництво
наземного,наземне
термінала,термінала
дата,дата
введення,введення
в,в
експлуатацію,експлуатація
—,—
2018,2018
рік,рік
З,з
метою,мета
реалізації,реалізація
цього,цей
завдання,завдання
між,між
Держінвестпроектом,держінвестпроект
та,та
американською,американська
компанією,компанія
укладено,укладено
договір,договір
про,про
співпр,співпр
ацю,аке
щодо,щодо
можливості,можливість
реалізувати,реалізувати
перший,перший
етап,етап
національного,національний
проекту,проект
Потенційними,потенційний
постачальниками,постачальник
скрапленого,скраплений
газу,газ
до,до
України,Україна
визначено,визначено
країни,країна
Північної,північна
і,і
Західної,західний
Африки,Африка
Єгипет,єгипет
Алжир,алжир
Нігерія,нігерія
Перської,перський
затоки,затока
Катар,катар
Каспійського,каспійський
регіону,регіон
Азер,азер
байджан,байджан
Туркменістан,туркменістан
Закупівля,закупівля
скрапленого,скраплений
газу,газ
також,також
може,могти
відбуватися,відбуватися
на,на
спотовому,спотове
ринку,ринок
7,7
Згідно,згідно
з,з
розрахунками,розрахунок
капітальні,капітальний
витрати,витрата
на,на
будівництво,будівництво
термінала,термінала
становитимуть,становити
846,846
мільйонів,мільйон
євро,євро
Консорціум,консорціум
інвес,інвес
торів,торет
профінансує,профінансує
30,30
відсотків,відсоток
вартості,вартість
будівництва,будівництво
термінала,термінала
решта,решта
70,70
відсотків,відсоток
буде,бути
залучено,залучено
за,за
рахунок,рахунок
кредитних,кредитний
ліній,лінія
та,та
або,або
розміщення,розміщення
облігацій,облігація
Будівництво,Будівництво
з’єднувального,з’єднувальний
газо,газо
проводу,проводу
для,для
підключення,підключення
термінала,термінала
до,до
газотранспортної,газотранспортна
системи,система
України,Україна
коштуватиме,коштуватиме
113,113
мільйонів,мільйон
євро,євро
Водночас,водночас
необхідно,необхідно
за,за
значити,значит
що,що
на,на
сьогодні,сьогодні
існує,існувати
ряд,ряд
чинників,чинник
які,який
уповільнюють,уповільнюють
процес,процес
реалізації,реалізація
цього,цей
проекту,проект
Пер,пер
ший,ший
із,із
них,вони
полягає,полягати
в,в
тому,тому
що,що
азербайджанською,азербайджанська
стороною,сторона
як,як
потенційним,потенційний
постачальником,постачальник
природного,природний
газу,газ
в,в
акваторію,акваторія
Чор,чор
ного,він
моря,море
не,не
визначено,визначено
остаточний,остаточний
термін,термін
будівництва,будівництво
на,на
узбе,узбе
режжі,режжі
Чорного,чорний
моря,море
термінала,термінала
із,із
зрідження,зрідження
природного,природний
газу,газ
без,без
чого,що
постачання,постачання
зрідженого,зріджений
газу,газ
в,в
напрямку,напрямок
вітчизняного,вітчизняний
LNG,LNG
термінала,термінала
неможливе,неможливе
Інший,інший
несприятливий,несприятливий
чинник,чинник
обумовлений,обумовлений
остаточною,остаточна
невизначеністю,невизначеність
турецької,турецька
сторони,сторона
відносно,відносно
надання,надання
згоди,згоди
українській,український
стороні,сторона
на,на
безперешкодний,безперешкодний
прохід,прохід
танкерів,танкер
зі,зі
скрапленим,скраплений
газом,газ
через,через
Босфор,босфор
Вчора,вчора
почалися,початися
і,і
продов,продов
жуються,жуються
сьогодні,сьогодні
перемови,перемова
з,з
турецькою,турецька
стороною,сторона
стосовно,стосовно
розв’язання,розв’язання
цієї,цей
проблеми,проблема
Запитання,запитання
щодо,щодо
можливості,можливість
виходу,вихід
з,з
єдиного,єдиний
ене,яне
рге-,ргесь
тичного,тичне
простору,простір
з,з
Росією,Росія
Воно,воно
стосується,стосуватися
того,те
на,на
якій,який
стадії,стадія
перебуває,перебувати
проект,проект
будівництва,будівництво
вітрових,вітрових
електростанцій,електростанція
у,у
гірській,гірській
місцевості,місцевість
на,на
території,територія
Львівськ,львівськ
ої,ої
області,область
Це,це
два,два
запитання,запитання
я,я
перепрошую,перепрошуя
На,на
сьогодні,сьогодні
об’єднана,об’єднана
енергетична,енергетична
система,система
Україн,україн
и,и
працює,працювати
паралельно,паралельно
з,з
енергосистемами,енергосистема
краї,край
н,н
СНД,СНД
та,та
Балтії,балтія
в,в
тому,тому
числі,число
з,з
ЄС,ЄС
Росією,Росія
Вийти,вийт
з,з
цього,цей
енергетичного,енергетичний
простору,простір
можна,можна
і,і
для,для
цього,цей
є,бути
два,два
варіанти,варіант
Перший,перший
—,—
працювати,працювати
відокремлено,відокремлено
у,у
влас,влас
ній,вона
синхронній,синхронній
зоні,зона
що,що
призведе,призведе
до,до
виникнення,виникнення
безліч,безліч
і,і
проб-,проб-
лем,воно
щодо,щодо
збалансування,збалансування
та,та
забезпечення,забезпечення
надійної,надійна
роботи,робота
нашої,наш
енергетичної,енергетичний
системи,система
Другий,другий
варіант,варіант
який,який
ми,ми
опрацьовуємо,опрацьовує
—,—
адаптувати,адаптуват
нашу,наш
енергетичну,енергетичн
систему,система
до,до
європейських,європейський
стандартів,стандарт
8,8
та,та
перейти,перейти
у,у
європейську,європейський
синхронну,синхроння
зону,зона
Цей,цей
проект,проект
ми,ми
реалі,реал
зуємо,зуємо
спільно,спільно
з,з
нашими,наші
молдавськими,молдавський
та,та
румунськими,румунськи
колегами,колега
за,за
допомогою,допомога
Європейського,європейський
енергетичного,енергетичний
співтовариства,співтовариство
Щодо,щодо
проекту,проект
будівництва,будівництво
вітрових,вітрових
електростанцій,електростанція
у,у
гір,гора
ській,ській
місцевості,місцевість
на,на
території,територія
Львівськ,львівськ
ої,ої
області,область
Хочу,хотіти
сказати,сказати
що,що
24,24
лютого,лютий
2015,2015
року,рік
на,на
території,територія
Львівської,львівський
обла,обла
сті,сто
введено,введено
в,в
експлуатацію,експлуатація
першу,перший
чергу,черга
Старосамбірської,старосамбірська
вітрової,вітрова
електро,електро
станції,станція
потужністю,потужність
6,6
6,6
мегавата,мегавата
Планується,планується
загальна,загальний
встановлена,встановлена
потужність,потужність
12,12
5,5
мегавата,мегавата
Запитання,запитання
щодо,щодо
реалізації,реалізація
ідеї,ідея
переходу,перехід
будинків,будинок
на,на
опалення,опалення
за,за
д,д.
опомогою,опомога
електроенергії,електроенергія
замість,замість
газу,газ
Про,про
намір,намір
почати,почати
втілювати,втілюват
таку,такий
ідею,ідея
в,в
життя,життя
уряд,уряд
заявляв,заявляти
ще,ще
навесні,навесні
мину,мина
лого,ло
року,рік
Конкретне,конкретне
запитання,запитання
—,—
на,на
якому,який
етапі,етапі
ця,цей
робота,робота
зараз,зараз
Кабінетом,кабінет
Міністрів,міністр
України,Україна
прийнято,прийнято
Постанову,постанова
“,“
Про,про
сти,сто
мулювання,мулювання
споживачів,споживач
пр,пр.
иродного,иродний
газу,газ
та,та
теплової,теплова
енергії,енергія
до,до
переходу,перехід
на,на
використання,використання
еле,еле
ктричної,ктрична
енергії,енергія
для,для
опалення,опалення
і,і
піді-,піді-
гріву,грів
води,вода
”,”
Відповідно,відповідно
до,до
зазначеної,зазначена
постанови,постанова
НКРЕКП,нерек
вста,вста
новила,новила
для,для
населення,населення
що,що
проживає,проживає
в,в
будинках,будинок
обладнаних,обладнаний
електроопалювальними,електроопалювальни
установками,установка
з,з
1,1
жовтня,жовтень
по,по
30,30
квітня,квітень
включно,включно
граничний,граничний
рівень,рівень
тарифу,тариф
за,за
спожиту,спожитий
щомісяця,щомісяць
елек,елек
тричну,трична
енергію,енергія
