Середа,середа
Верховної,верховний
Ради,рада
України,Україна
Шановні,шановний
народні,народний
депутати,депутат
Прошу,прош
підготуватис,підготуватис
я,я
до,до
реєстрації,реєстрація
Вкотре,вкотре
нагадую,нагадуя
що,що
реєстрація,реєстрація
відбувається,відбуватися
шляхом,шляхом
натискання,натискання
кнопки,кнопки
за,за
зеленої,зелений
кнопки,кнопки
Ну,ну
якщо,якщо
вас,ви
н,н
е,е
влаштовує,влаштовує
зелена,зелений
то,то
та,та
що,що
зліва,зліва
Мені,я
здається,здаватися
що,що
це,це
теж,теж
пов,пов
’язано,’язано
з,з
політичними,політичний
вподо,вподо
баннями,бання
Власенка,власенка
Шановні,шановний
колеги,колега
готові,готовий
реєструватис,реєструватис
я,я
Усі,увесь
картки,картка
вставили,вставили
усі,увесь
готові,готовий
так,так
Прошу,прош
реєструватис,реєструватис
я,я
У,у
залі,зал
за,за
реєстр,реєстр
увалися,увалися
326,326
народних,народний
депутатів,депутат
Ук,ук
раїни,раїни
Ранкове,ранкове
засідання,засідання
Верховної,верховний
Ради,рада
України,Україна
оголошую,оголошуя
відкритим,відкритий
Шановні,шановний
колеги,колега
сьогодні,сьогодні
день,день
народження,народження
в,в
нашого,наш
колеги,колега
Андрія,Андрій
Ярославовича,ярославович
Лопушанського,лопушанський
Я,я
хотів,хотіти
би,би
привітати,привітати
іменин,іменин
ника,ника
побажати,побажати
здоров,здоров
’я,’я
наснаги,наснаги
успіхів,успіх
сімейного,сімейний
затишку,затишка
та,та
реа,реа
лі-,лі-
зації,зація
всіх,весь
тих,той
починань,починання
які,який
у,у
вас,ви
є,бути
Відповідно,відповідно
до,до
статті,стаття
25,25
Регламенту,регламент
в,в
середу,серед
ми,ми
маємо,мати
30,30
хвилин,хвилина
на,на
виступи,виступ
народних,народний
депутатів,депутат
з,з
внесенням,внесення
пропозицій,пропозиція
заяв,заява
та,та
повідомлень,повідомлення
Прошу,прош
народних,народний
депутатів,депутат
записатис,записатис
я,я
на,на
виступи,виступ
Юлія,юлія
Володимирівн,володимирівн
а,а
Тимошенко,тимошенко
ТИМОШЕНКО,тимошенко
Ю,Ю
В,в
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
соціальної,соціальний
політики,політика
та,та
захисту,захист
прав,право
ветеранів,ветеран
загально,загально
державний,державний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Батьківщина,батьківщина
Шановні,шановний
колеги,колега
Сьогодні,сьогодні
4,4
о,о
15,15
годині,година
в,в
цьому,це
залі,зал
будуть,бути
проводитися,проводитися
парламентські,парламентські
слухання,слухання
щодо,щодо
питань,питання
продажу,продаж
сільськогосподарської,сільськогосподарська
землі,земля
Ви,ви
знаєте,знати
з,з
яким,який
трудом,труд
узагалі,узагалі
було,бути
вибито,вибито
право,право
провести,провести
такі,такий
слухання,слухання
Завжди,завжди
в,в
цьому,це
залі,зал
слухання,слухання
проходили,проходити
дуже,дуже
демокра,демокр
тично,тично
тому,тому
що,що
це,це
слухання,слухання
не,не
для,для
народних,народний
депутатів,депутат
не,не
для,для
міністрів,міністр
не,не
для,для
тих,той
хто,хто
представляє,представляти
владу,влада
Парламентські,парламентськ
слухання,слухання
проводяться,проводитися
з,з
єдиною,єдиний
метою,мета
щоб,щоб
послухати,послухат
що,що
говорять,говорити
люди,людина
що,що
говорять,говорити
громадські,громадський
організації,організація
що,що
говорять,говорити
у,у
тому,тому
числі,число
аграрії,аграрія
якщо,якщо
ц,ц
е,е
стосується,стосуватися
землі,земля
І,і
мені,я
дуже,дуже
прикро,прикро
що,що
перший,перший
раз,раз
у,у
стінах,стіна
Верховної,верховний
Ради,рада
ці,цей
парламентські,парламентські
слухання,слухання
проводилися,проводитися
таким,такий
чином,чин
що,що
були,бути
розписані,розписан
квоти,квоти
меншість,меншість
була,бути
віддана,віддана
і,і
сказали,сказати
ну,ну
ви,ви
там,там
розписуйте,розписуйте
кого,хто
ви,ви
приведете,приведете
але,але
більшість,більшість
за,за
квотами,квоти
с,с.
ьогодні,ьогодні
буде,бути
приведено,приведено
до,до
залу,зал
о,о
15,15
годині,година
тих,той
хто,хто
буде,бути
наполягати,наполягат
на,на
продаж,продаж
у,у
землі,земля
хто,хто
буде,бути
наполягати,наполягат
на,на
тому,тому
щоб,щоб
Україна,Україна
отримала,отримати
в,в
цілому,ціле
ті,той
закони,закон
які,який
стосуються,стосуватися
по,по
суті,суть
позбавлення,позбавлення
України,Україна
сільськогоспо,сільськогоспо
дарської,дарська
землі,земля
Але,але
це,це
ще,ще
не,не
кінець,кінець
тому,тому
що,що
мало,мало
того,те
що,що
за,за
квотам,квоти
и,и
заводять,заводять
є,бути
ще,ще
друга,другий
історія,історія
Вони,вони
підготували,підготували
промовців,промовець
так,так
щоб,щоб
була,бути
пере,пере
важна,важна
більшість,більшість
тих,той
хто,хто
буде,бути
говорити,говорити
що,що
продати,продати
землю,земля
це,це
наше,наш
останнє,останній
щастя,щастя
в,в
Україні,Україна
і,і
баланс,баланс
промовців,промовець
під,під
контролем,контроль
комітету,комітет
буде,бути
знову,знову
маніп,маніп
улювати,улюват
свідомістю,свідомість
людей,людина
і,і
пояснювати,пояснювата
що,що
для,для
України,Україна
благо,бла
позбавитися,позбавитися
останнього,останній
нашого,наш
ресурсу,ресурс
сільсько,сільсько
господарської,господарський
землі,земля
І,і
останнє,останній
третє,третє
чого,що
взагалі,взагалі
ніколи,ніколи
не,не
бувало,бувати
у,у
Верховній,верховній
Раді,раді
Комітет,комітет
по,по
суті,суть
підготував,підготува
проект,проект
резолюції,резолюція
парламентськ,парламентськ
их,их
слухань,слухань
ще,ще
до,до
проведення,проведення
слухан,слухан
ь,ь
у,у
парламенті,парламент
у,у
якому,який
вже,вже
закладено,закласти
що,що
треба,треба
продати,продати
землю,земля
і,і
що,що
більшість,більшість
тих,той
які,який
сидіти,сидіти
муть,муть
у,у
цьому,це
залі,зал
на,на
парламентських,парламентський
слуханнях,слухання
у,у
принципі,принципі
підтримають,підтримають
резолюцію,резолюція
про,про
продаж,продаж
землі,земля
Навіщо,навіщо
така,такий
фальсифікаці,фальсифікаць
я,я
парла,парла
ментських,ментські
громад,громада
ських,ських
слухань,слухань
Навіщо,навіщо
такий,такий
обман,обман
Я,я
хочу,хотіти
ще,ще
раз,раз
повернути,повернут
вас,ви
до,до
головних,головний
позицій,позиція
у,у
програмі,програма
діяльності,діяльність
майбутнього,майбутній
Президента,президент
Зеленського,Зеленський
Коли,коли
він,він
проводив,проводити
виборчу,виборч
кампанію,кампанія
то,то
сказав,сказати
що,що
перший,перший
закон,закон
який,який
буде,бути
прийнятий,прийнятий
у,у
цьому,це
залі,зал
це,це
закон,закон
про,про
народовладдя,народовладдя
закон,закон
про,про
референдум,референдум
для,для
того,те
щоб,щоб
запитати,запитати
у,у
людей,людина
У,у
своїй,свій
програмі,програма
він,він
зазначив,зазначити
що,що
5,5
ГОЛОВУЮЧИЙ,головуючий
Додайте,додайте
10,10
секунд,секунда
щоб,щоб
завершити,завершит
будь,бути
ласка,ласка
ТИМОШЕНКО,тимошенко
Ю,Ю
В,в
30,30
секунд,секунда
ГОЛОВУЮЧИЙ,головуючий
Юліє,Юлія
Володимирівн,володимирівн
о,о
ТИМОШЕНКО,тимошенко
Ю,Ю
В,в
Я,я
хочу,хотіти
щоб,щоб
ми,ми
спочатку,спочатку
провели,провести
рефе,рефе
рендум,рендум
хочуть,хотіти
люди,людина
продавати,продавати
землю,земля
чи,чи
ні,ні
а,а
потім,потім
у,у
залі,зал
проводили,проводити
фальшиві,фальшив
слухання,слухання
і,і
голосували,голосувати
за,за
закони,закон
які,який
суперечать,суперечити
інтересам,інтерес
України,Україна
ГОЛОВУЮЧИЙ,головуючий
Сухов,сухов
Олександр,Олександр
Сергійович,сергійович
СУХОВ,сухов
О,О.
С,С.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
транспорту,транспорт
та,та
інфраструктури,інфраструктура
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
107,107
Луганська,луганська
область,область
самовисуванець,самовисуванець
Луганщина,Луганщина
Прошу,прош
передати,передати
слово,слово
Шахову,шахів
ГОЛОВУЮЧИЙ,головуючий
Шахов,шахов
Сергій,Сергій
Володимирович,володимирович
ШАХОВ,шахов
С,С.
В,в
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
екологічної,екологічний
політики,політика
та,та
природокористування,природокористування
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
114,114
Луганська,луганська
область,область
самови,самова
суванець,суванець
Луганщина,Луганщина
Шановні,шановний
колеги,колега
Ні,ні
для,для
кого,хто
не,не
секрет,секрет
що,що
зима,зима
вже,вже
прийшла,прийти
морози,морози
відчу,відча
ла,ла
кожна,кожний
людина,людина
кожна,кожний
дитина,дитина
в,в
нашій,наш
країні,країна
Сьогодні,сьогодні
кожен,кожний
українець,українець
про,про
кидається,кидається
з,з
думкою,думка
і,і
з,з
болем,біль
яким,який
чином,чин
заплатити,заплатит
за,за
комунальні,комунальний
послуги,послуга
У,у
цьому,це
залі,зал
приймаються,прийматися
різні,різний
закони,закон
як,як
у,у
10,10
разів,раз
зірвати,зірват
шкуру,шкура
з,з
підприємців,підприємець
з,з
ФОПів,ф’п
з,з
малого,малий
середнього,середній
великого,великий
бізнесу,бізнес
як,як
закрит,закрит
и,и
шахти,шахта
повністю,повністю
зруйнувати,зруйнувати
вугільну,вугільна
галузь,галузь
як,як
закрити,закрит
металургійні,металургійна
заводи,заводи
як,як
завезти,завезти
вугілля,вугілля
з,з
Америки,Америка
з,з
Африки,Африка
та,та
з,з
Російської,російський
Федерації,федерація
як,як
закупити,закупити
електроенергію,електроенергія
в,в
Росії,Росія
а,а
не,не
видобувати,видобувати
її,вона
в,в
Україні,Україна
як,як
закуповувати,закуповуват
газ,газ
через,через
прокладки,прокладки
в,в
Європі,Європа
а,а
можна,можна
закуповувати,закуповуват
напряму,напрям
дешевше,дешевше
на,на
30,30
відсотків,відсоток
Ніхто,ніхто
взагалі,взагалі
не,не
думає,думати
про,про
пере,пере
січного,січне
громадянина,громадянина
Тарифи,тарифи
зашкалюють,зашкалюють
і,і
ніхто,ніхто
про,про
це,це
не,не
говорить,говорити
у,у
цьому,це
залі,зал
6,6
Ми,ми
приїхали,приїхати
з,з
округу,округа
Вельможний,вельможний
був,бути
у,у
Золотому,золотий
де,де
було,бути
розведення,розведення
військ,військо
Золоте,золоте
залиш,залиш
ається,ається
без,без
опалення,опалення
Рубіжне,рубіжне
без,без
опалення,опалення
у,у
Лисичанську,лисичанська
Луганськ,луганськ
ої,ої
області,область
як,як
був,бути
надзвичайний,надзвичайний
стан,стан
так,так
і,і
залишається,залишатися
без,без
електроенергії,електроенергія
без,без
води,вода
Чим,що
сьогодні,сьогодні
може,могти
заплатити,заплатит
шахтар,шахтар
коли,коли
він,він
знову,знову
не,не
отримує,отримує
заробітн,заробітн
ої,ої
плат,плат
и,и
Знову,знову
мільярдні,мільярдні
борги,борг
із,із
виплати,виплата
зарплат,зарплата
и,и
шахтар,шахтар
ям,ям
Пенсіонери,пенсіонери
по,по
30,30
відсотків,відсоток
платять,платять
потім,потім
сидять,сидять
у,у
холодн,холодн
их,их
хатах,хата
обмотуючи,обмотуючи
рушниками,рушник
ноги,нога
ставлять,ставити
грілк,грілк
и,и
або,або
пляшк,пляшк
и,и
з,з
гарячою,гарячий
водою,вода
які,який
нагріли,нагріли
на,на
газі,газ
ціна,ціна
якого,який
зашкалює,зашкалює
Сьогодні,сьогодні
міністр,міністр
каже,казати
що,що
зниження,зниження
тарифів,тариф
не,не
бу,бу
де,де
а,а
Прези,преза
дент,дент
говорив,говорити
протилежне,протилежне
що,що
все-таки,все-таки
буд,буд
е,е
зниження,зниження
тарифів,тариф
Ска,ска
жіть,жіть
будь,бути
ласка,ласка
кому,хто
вірити,вірити
Міністр,міністр
каже,казати
про,про
те,те
що,що
ми,ми
будемо,бути
слухати,слухати
МВФ,МВФ
Т,т
о,о
скажіть,сказати
шановні,шановня
народні,народний
депутати,депутат
кому,хто
ми,ми
будемо,бути
служити,служит
МВФ,МВФ
чи,чи
українському,український
народу,народ
який,який
нас,ми
оби,оби
рав,рав
Учора,учора
приймали,приймали
закон,закон
про,про
внесенн,внесенно
я,я
змін,зміна
до,до
Податкового,податкове
кодекс,кодекс
у,у
Скажіть,сказати
будь,бути
ласка,ласка
хтось,хтось
його,його
читав,читав
Хто-небудь,хто-небудь
буде,бути
думати,думати
не,не
про,про
продаж,продаж
землі,земля
яку,який
наші,наш
предк,предк
и,и
залишили,залишити
нам,ми
у,у
спадок,спадок
щоб,щоб
ми,ми
на,на
ній,вона
будували,будувати
і,і
вирощували,вирощували
продукти,продукт
харчування,харчування
Сьогодні,сьогодні
ви,ви
прийшли,прийти
закладати,закладат
в,в
ломбард,ломбард
нашу,наш
рідну,рідний
землю,земля
продати,продати
все,все
що,що
залишилося,залишитися
пропити,пропит
проїсти,проїст
−,−
і,і
залишити,залишити
жебраками,жебрака
вс,вс
і,і
покоління,покоління
Народні,народні
депутати,депутат
схаменіться,схаменіться
почніть,почніть
думати,думати
Кабінет,кабінет
е,е
Міні,міні
стрів,стрево
народні,народний
депутати,депутат
Адміністраці,адміністраця
є,бути
Президента,президент
почніть,почніть
ду,ду
мати,мати
про,про
людей,людина
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Величкович,величкович
Микола,Микола
Романович,романович
ВЕЛИЧКОВИЧ,величкович
М,М.
Р,р
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
транспорту,транспорт
та,та
інфраструктури,інфраструктура
загальнодержавний,загальнодержавний
бага,бага
томандатний,томандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Європейська,європейська
солі,сіль
дарність,дарність
Прошу,прош
передати,передати
слово,слово
Іванні,івання
Климпуш,климпуш
Цинцадзе,цинцадзе
ГОЛОВУЮЧИЙ,головуючий
Іванна,іванна
Орестівна,орестівна
Климпуш,климпуш
Цинцадзе,цинцадзе
КЛИМПУШ,климпуш
ЦИНЦАДЗЕ,цинцадзе
І,і
О,О.
голова,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
інтеграції,інтеграція
України,Україна
з,з
Європейським,європейський
Союзом,союз
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
7,7
партія,партія
Європейська,європейська
солідарність,солідарність
Дякую,дякувати
Шановний,шановний
пане,пане
Голово,голово
Шановні,шановний
колеги,колега
Шановні,шановний
українці,українець
Сьогодні,сьогодні
в,в
ц,ц
ьому,що
залі,зал
буде,бути
роз,роз
глядатися,глядатися
законопроект,законопроект
яки,яки
м,м
пропонується,пропонується
внести,внести
зміни,зміна
до,до
Закону,закон
Про,про
ринок,ринок
електричної,електрична
енергії,енергія
Я,я
хочу,хотіти
наголосити,наголосити
на,на
тому,тому
що,що
цей,цей
законопроект,законопроект
втручання,втручання
в,в
національну,національн
енергетичну,енергетичн
безпеку,безпека
Коли,коли
Україна,Україна
у,у
всього,все
західного,західний
демократичного,демократичний
світу,світ
вимагає,вимагати
санкцій,санкція
проти,проти
Російської,російський
Федерації,федерація
у,у
цей,цей
час,час
сама,сам
попри,попри
ці,цей
санкції,санкція
почала,почати
вже,вже
закуповувати,закуповуват
російську,російська
електроенергію,електроенергія
через,через
попередньо,попередньо
прий,прий
нятий,нятий
закон,закон
а,а
від,від
сьогодні,сьогодні
через,через
нібито,нібито
чергову,черговий
по,по
правку,правка
буде,бути
про,про
довжувати,довжувати
закуповувати,закуповуват
електроенергію,електроенергія
в,в
Білорусі,Білорусь
Я,я
хочу,хотіти
нагадати,нагадати
що,що
закуповуючи,закуповуюч
в,в
Білорусі,Білорусь
електроенергію,електроенергія
ми,ми
в,в
такий,такий
спосіб,спосіб
в,в
енер,енер
годефіцитної,годефіцитна
країни,країна
будемо,бути
закуп,закуп
овувати,овувати
ту,той
саму,самий
російську,російська
електро,електро
енергію,енергія
вироблену,вироблен
на,на
атомній,атомнія
станції,станція
яка,який
збудована,збудовання
на,на
російські,російський
гроші,гроші
Найкращим,найкраще
захистом,захист
для,для
н,н
ашої,а
критичної,критична
інфраструктури,інфраструктура
є,бути
ін-,ін-
теграція,теграція
в,в
енергетичні,енергетичня
ринки,ринка
Є,бути
вропейського,вропейський
Союзу,союз
Ми,ми
про,про
це,це
з,з
ними,вони
домовилися,домовилися
І,і
якщо,якщо
ми,ми
б,б
удемо,удемо
частиною,частина
ENTSO,ENTSO
E,E
а,а
ворог,ворог
захоче,захоче
за,за
подіяти,подіять
нам,ми
шкоду,шкода
то,то
він,він
буде,бути
атакувати,атакувати
не,не
тільки,тільки
нас,ми
він,він
атаку,атак
вати,вата
ме,ме
і,і
країни,країна
Європейського,європейський
Союзу,союз
а,а
відповідно,відповідно
це,це
буде,бути
просто,просто
самогубством,самогубство
для,для
Путіна,путіна
Сподіваюся,сподіваюся
що,що
в,в
ц,ц
ьому,що
залі,зал
багато,багато
хто,хто
усвідомлює,усвідомлює
що,що
тра,тра
нзит,нзит
газу,газ
через,через
територію,територія
України,Україна
весь,весь
цей,цей
час,час
був,бути
стримуючим,стримуючі
аргумен,аргумен
том,том
для,для
путінської,путінська
Росії,Росія
Саме,саме
цей,цей
транзит,транзит
дозволяв,дозволяв
нам,ми
не,не
відчувати,відчуват
ще,ще
можливо,можливо
агресивнішу,агресивніш
позицію,позиція
Російської,російський
Федерації,федерація
А,а
якщо,якщо
ата,ата
куватимуть,куватимуть
нашу,наш
інтеграцію,інтеграція
до,до
ENTSO,ENTSO
E,E
то,то
навіть,навіть
заподіяна,заподіяна
шкода,шкода
для,для
України,Україна
це,це
буде,бути
як,як
я,я
сказала,сказати
економічним,економічний
і,і
політичним,політичний
само,само
губством,губство
для,для
Путіна,путіна
Більше,більше
того,те
пропозиції,пропозиція
Європейської,європейський
солідар,солідар
ності,ність
до,до
цього,цей
законопр,законопр
оекту,оекта
які,який
не,не
були,бути
враховані,врахований
є,бути
життєво,життєво
важливими,важливи
для,для
нашої,наш
країни,країна
тому,тому
що,що
в,в
них,вони
ід,ід
еться,еться
про,про
національну,національн
безпеку,безпека
Якщо,якщо
їх,вони
не,не
буде,бути
враховано,враховано
так,так
як,як
пропонує,пропонувати
комітет,комітет
то,то
ми,ми
разом,разом
ц,ц
им,им
залом,зало
поставимо,поставити
під,під
загрозу,загроза
н,н
аціональну,аціональн
енергетичну,енергетичн
безпеку,безпека
Я,я
дуже,дуже
прошу,просити
колеги,колега
під,під
час,час
розгляд,розгляд
у,у
цього,цей
законопроекту,законопроект
врахувати,врахувати
поправки,поправки
які,який
пропонувати,пропонуват
ме,ме
Європейська,європейська
солідарність,солідарність
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Бондар,бондар
Михайло,Михайло
Леонтійович,Леонтійович
8,8
БОНДАР,бондар
М,М.
Л,л
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
енергетики,енергетики
та,та
житлово,житловий
комунальних,комунальний
послуг,послуга
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
119,119
Львівська,львівський
область,область
політичн,політичн
а,а
партія,партія
Європейська,європейська
солідарність,солідарність
Дякую,дякувати
Європейська,європейська
солідар,солідар
ність,ність
На,на
доповнення,доповнення
виступу,виступ
своєї,свій
колеги,колега
щодо,щодо
закон,закон
опроект,опроект
у,у
№,№
2233,2233
я,я
трохи,трохи
нагадаю,нагада
що,що
прийнявши,прийнявши
у,у
вересні,вересень
поправку,поправка
до,до
Закон,закон
у,у
Про,про
ринок,ринок
електр,електр
ичної,хчна
енергії,енергія
яка,який
була,бути
імплементована,імплементована
в,в
закон,закон
про,про
ядерну,ядерний
безпеку,безпека
ми,ми
дійсно,дійсно
дозволили,дозволити
імпорт,імпорт
електроенергії,електроенергія
з,з
Росій,росія
ської,ськія
Федерації,федерація
Зараз,зараз
це,це
завуальовано,завуальовано
бо,бо
начебто,начебто
в,в
законі,закон
є,бути
поправка,поправка
якою,який
забороняються,забороняються
двосторонні,двостороння
договори,договори
на,на
поста,поста
чання,чання
електро,електро
енергії,енергія
з,з
Російської,російський
Федерації,федерація
але,але
залишаєтьс,залишаєтьс
я,я
Білорус,білорус
ь,ь
і,і
фактично,фактично
та,та
сама,сам
електроенергія,електроенергія
буде,бути
заходити,заходити
в,в
нашу,наш
державу,держава
Що,що
це,це
дає,давати
Це,це
повна,повний
руйнація,руйнація
генеруючих,генеруючий
компаній,компанія
енерге,енерге
тичної,тична
безпеки,безпека
нашої,наш
держави,держава
у,у
тому,тому
числі,число
вугільної,вугільна
галузі,галузь
Зараз,зараз
уже,уже
на,на
складах,склада
лежить,лежати
вугілля,вугілля
і,і
Центренерго,центренер
не,не
викуп,викуп
ляє,ляє
й,й
ого,о_о
а,а
завозиться,завозиться
дешеве,дешеве
вугілля,вугілля
з,з
Російської,російський
Федерації,федерація
і,і
так,так
само,само
ця,цей
електроенергія,електроенергія
з,з
Російської,російський
Федерації,федерація
поста,поста
чається,чається
в,в
Україну,Україна
за,за
зани,зани
женими,жене
цінами,ціна
Тобто,тобто
вони,вони
її,вона
продають,продають
як,як
наживку,наживка
для,для
українських,український
споживачів,споживач
навіть,навіть
за,за
нижчою,нижчий
ціною,ціна
ніж,ніж
прода,прода
ють,ють
для,для
своїх,свій
Рано,рано
чи,чи
пізно,пізно
вони,вони
будуть,бути
цим,цей
механізмом,механізм
маніпулювати,маніпулюват
і,і
під,під
час,час
гібридної,гібридна
війни,війна
це,це
буде,бути
ще,ще
одним,один
інструментом,інструмент
впливу,вплив
на,на
Україну,Україна
впливу,вплив
на,на
Європейський,європейський
Союз,союз
щоб,щоб
домогтися,домогтися
якихось,якийсь
своїх,свій
вимог,вимога
Я,я
хочу,хотіти
с,с.
казати,казати
що,що
не,не
можна,можна
приймати,приймати
цього,цей
законопроекту,законопроект
ще,ще
з,з
огляду,огляд
на,на
те,те
що,що
буквально,буквально
2,2
грудня,грудень
Президент,президент
Зеленський,зеленський
видав,видати
Указ,указ
Про,про
рішення,рішення
Ради,рада
національної,національний
безпеки,безпека
і,і
оборони,оборона
від,від
2,2
грудня,грудень
2019,2019
року,рік
Про,про
невідкладні,невідкладний
